GeneOrder	GroupName	GroupProteinFunction	GeneAccession	GeneLink	GeneProteinFunction	IsolateName	IsolateAccession	isIsolate	GroupNameGood	Fence	GenomeAcc	NcbiIsolateName	GenomeOrder	inNewPoxAlign
1	A18	DNA helicase	CCU55377.1	PROT:CCU55377.1	"DNA helicase, transcript release factor"	Adoxophyes honmai entomopoxvirus 'L'	HF679131	1	1	=	HF679131.1	Tokyo	3	Y
1	A18	DNA helicase	AXN74933.1	PROT:AXN74933.1	DNA helicase	Akhmeta virus	MH607141	1	1	=	MH607141.1	Akhmeta_2013-88	4	Y
1	A18	DNA helicase	AAG02765.1	PROT:AAG02765.1	AMV059	Amsacta moorei entomopoxvirus	AF250284	1	1	=	AF250284.1	Amsacta moorei entomopoxvirus	5	Y
1	A18	DNA helicase	BAO49508.1	PROT:BAO49508.1	"DNA helicase, transcriptional elongation"	Anomala cuprea entomopoxvirus	AP013055	1	1	=	AP013055.1	CV6M	2	Y
1	A18	DNA helicase	APG58328.1	PROT:APG58328.1	transcript termination protein A18	BeAn 58058 virus	KY094066	1	1	=	KY094066.1	BeAn58058	7	N
1	A18	DNA helicase	AAR98452.1	PROT:AAR98452.1	ORF095 DNA helicase	Bovine papular stomatitis virus	AY386265	1	1	=	AY386265.1	BV-AR02	6	Y
1	A18	DNA helicase	AAG37625.1	PROT:AAG37625.1	CMP135R	Camelpox virus CMS	AY009089	1	1	=	AY009089.1	CMS	9	N
1	A18	DNA helicase	AAL73843.1	PROT:AAL73843.1	putative DNA helicase transcriptional elongation factor	Camelpox virus M-96	AF438165	1	1	=	AF438165.1	M-96	8	Y
1	A18	DNA helicase	AAR83603.1	PROT:AAR83603.1	"CNPV257 DNA helicase, transcriptional elongation"	Canarypox virus	AY318871	1	1	=	AY318871.1	ATCC VR-111	11	Y
1	A18	DNA helicase	CCU55672.1	PROT:CCU55672.1	"DNA helicase, transcript release factor"	Choristoneura biennis entomopoxvirus	HF679132	1	1	=	HF679132.1	Choristoneura biennis entomopoxvirus	10	Y
1	A18	DNA helicase	CCU55983.1	PROT:CCU55983.1	"DNA helicase, transcript release factor"	Choristoneura rosaceana entomopoxvirus 'L'	HF679133	1	1	=	HF679133.1	Choristoneura rosaceana entomopoxvirus 'L'	14	Y
1	A18	DNA helicase	ADT91137.1	PROT:ADT91137.1	DNA helicase-transcription elongation factor	Cotia virus SPAn232	HQ647181	1	1	=	HQ647181.2	SPAn232	12	Y
1	A18	DNA helicase	AAM13592.1	PROT:AAM13592.1	CPXV151 protein	Cowpox virus	AF482758	1	1	=	AF482758.2	Brighton Red	13	Y
1	A18	DNA helicase	ABI99274.1	PROT:ABI99274.1	DNA helicase	Deerpox virus W-848-83	AY689436	1	1	=	AY689436.1	W-848-83	15	Y
1	A18	DNA helicase	ATI21220.1	PROT:ATI21220.1	DNA helicase transcript release factor	Eastern grey kangaroopox virus	MF467281	1	1	=	MF467281.1	Sunshine Coast	18	Y
1	A18	DNA helicase	AAM92426.1	PROT:AAM92426.1	EVM121	Ectromelia virus	AF012825	1	1	=	AF012825.2	Moscow	16	Y
1	A18	DNA helicase	AFH54685.1	PROT:AFH54685.1	DNA helicase	Ectromelia virus ERPV	JQ410350	1	1	=	JQ410350.1	ERPV	17	N
1	A18	DNA helicase	ASK51316.1	PROT:ASK51316.1	"DNA helicase, transcript release factor"	Eptesipox virus	KY747497	1	1	=	KY747497.1	Washington	19	Y
1	A18	DNA helicase	AUD40291.1	PROT:AUD40291.1	DNA helicase	Flamingopox virus FGPVKD09	MF678796	1	1	=	MF678796.1	FGPVKD09	20	Y
1	A18	DNA helicase	AAF44527.1	PROT:AAF44527.1	"ORF FPV183 DNA helicase, transcriptional elongation"	Fowlpox virus	AF198100	1	1	=	AF198100.1	Fowlpox virus	21	Y
1	A18	DNA helicase	YP_001293301.1	PROT:YP_001293301.1	hypothetical protein GTPV_gp105	Goatpox virus Pellor	NC_004003.1	1	1	=	NC_004003.1	Pellor	23	Y
1	A18	DNA helicase	ABH08245.1	PROT:ABH08245.1	HSPV139	Horsepox virus	DQ792504	1	1	=	DQ792504.1	MNR-76	24	Y
1	A18	DNA helicase	AAK85071.1	PROT:AAK85071.1	LSDV110 putative DNA helicase transcriptional elongation factor	Lumpy skin disease virus NI-2490	AF325528	1	1	=	AF325528.1	Neethling 2490	25	Y
1	A18	DNA helicase	AAC97786.1	PROT:AAC97786.1	"ORF MSV148 putative DNA helicase (vaccinia A18R), similar to SW:P20534"	Melanoplus sanguinipes entomopoxvirus 'O'	AF063866	1	1	=	AF063866.1	Tucson	30	Y
1	A18	DNA helicase	AAC55251.1	PROT:AAC55251.1	MC123R	Molluscum contagiosum virus subtype 1	U60315	1	1	=	U60315.1	Molluscum contagiosum virus subtype 1	26	Y
1	A18	DNA helicase	AAX09225.1	PROT:AAX09225.1	MPXV-COP-124	monkeypox virus clade IIa strain cOP-58	AY753185	1	1	=	AY753185.1	COP-58	28	Y
1	A18	DNA helicase	AAL40587.1	PROT:AAL40587.1	A19R	Monkeypox virus clade I strain Zaire-96-I-16	AF380138	1	1	=	AF380138.1	Zaire-96-I-16	29	Y
1	A18	DNA helicase	AST09329.1	PROT:AST09329.1	DNA helicase	Murmansk poxvirus	MF001304	1	1	=	MF001304.1	LEIV-11411	27	Y
1	A18	DNA helicase	CCU56280.1	PROT:CCU56280.1	"DNA helicase, transcript release factor"	Mythimna separata entomopoxvirus 'L'	HF679134	1	1	=	HF679134.1	Mythimna separata entomopoxvirus 'L'	31	Y
1	A18	DNA helicase	AAF14996.1	PROT:AAF14996.1	m108R	Myxoma virus strain Lausanne	AF170726	1	1	=	AF170726.2	Lausanne	32	Y
1	A18	DNA helicase	AFU77372.1	PROT:AFU77372.1	m108R	Myxoma virus isolate BRK 897	JX565564	1	1	=	JX565564.1	Aust/Brooklands/1-95	33	N
1	A18	DNA helicase	ABJ09032.1	PROT:ABJ09032.1	DNA helicase	Nile crocodilepox virus	DQ356948	1	1	=	DQ356948.1	Nile crocodilepox virus	34	Y
1	A18	DNA helicase	ABA00612.1	PROT:ABA00612.1	DNA helicase	Orf virus strain NZ2	DQ184476	1	1	=	DQ184476.1	NZ2	36	N
1	A18	DNA helicase	AAR98320.1	PROT:AAR98320.1	ORF095 DNA helicase	Orf virus strain OV-SA00	AY386264	1	1	=	AY386264.1	OV-SA00	35	Y
1	A18	DNA helicase	AYN64703.1	PROT:AYN64703.1	putative A18R protein	Orthopoxvirus Abatino	MH816996	1	1	=	MH816996.1	Abatino	1	Y
1	A18	DNA helicase	AIZ77346.1	PROT:AIZ77346.1	putative DNA helicase	Parapoxvirus red deer/HL953	KM502564	1	1	=	KM502564.1	HL953	42	Y
1	A18	DNA helicase	AID46922.1	PROT:AID46922.1	DNA helicase	Penguinpox virus	KJ859677	1	1	=	KJ859677.1	PSan92	39	Y
1	A18	DNA helicase	AID46690.1	PROT:AID46690.1	DNA helicase	Pigeonpox virus	KJ801920	1	1	=	KJ801920.1	FeP2	38	Y
